id,fecha,categoria_principal,nombre,precio_bs,precio_usd,tasa_bcv_usd,precio_ref,pagina,url_pagina,timestamp
1,2026-04-20,Ingredientes_Para_Postres,BICARBONATO D/SODIO THE GRANDMOTHER 160G,1240.52,2.58,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
2,2026-04-20,Ingredientes_Para_Postres,BICARBONATO DE SODIO ARM & HAMMER 226GR,1758.37,3.65,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
3,2026-04-20,Ingredientes_Para_Postres,BICARBONATO DE SODIO ARM & HAMMER 453GR,2605.01,5.41,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
4,2026-04-20,Ingredientes_Para_Postres,BICARBONATO DE SODIO BICARBIX 150GR,1116.42,2.32,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
5,2026-04-20,Ingredientes_Para_Postres,BICARBONATO DE SODIO BICARBIX 500GR,2604.99,5.41,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
6,2026-04-20,Ingredientes_Para_Postres,BICARBONATO DE SODIO ONDA 150GR,1304.93,2.71,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
7,2026-04-20,Ingredientes_Para_Postres,BOCADILLO DE PLATANO LA ANDINA 12UND,2143.54,4.45,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
8,2026-04-20,Ingredientes_Para_Postres,BOCADILLOS LA ANDINA 18UND COMBINADOS,3609.79,7.50,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
9,2026-04-20,Ingredientes_Para_Postres,BOCADILLOS URENA 18UND GUAYABA,4703.89,9.77,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
10,2026-04-20,Ingredientes_Para_Postres,CACAO EN POLVO WEPA 200GR S/ GLUTEN,3877.72,8.06,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
11,2026-04-20,Ingredientes_Para_Postres,CREMA CHANTILLY KEN 1LT PRESTO,3791.99,7.88,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
12,2026-04-20,Ingredientes_Para_Postres,CREMA CHANTILLY KEN SPRAY 275ML,3862.83,8.03,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
13,2026-04-20,Ingredientes_Para_Postres,PAPEL HIG ROSAL PLUS 4ROLL 400HOJAS NARANJA,1444.03,3.00,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
14,2026-04-20,Ingredientes_Para_Postres,POLLO ENTERO XUND,4282.84,8.90,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
15,2026-04-20,Ingredientes_Para_Postres,HUEVOS EL TUNAL 30UND,3777.56,7.85,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
16,2026-04-20,Ingredientes_Para_Postres,ARCOS DENTALES GALACTIC X30UND,1116.42,2.32,481.22,,1,https://www.plansuarez.com/index.php?route=product/category&path=238,2026-04-20T17:59:39.312618
17,2026-04-20,Ingredientes_Para_Postres,CREMA CHANTILLY MASTER TOP 1LT,4822.80,10.02,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
18,2026-04-20,Ingredientes_Para_Postres,CREMA CHANTILLY VERMUYTEN 1LT AZUCARADA,4960.67,10.31,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
19,2026-04-20,Ingredientes_Para_Postres,CREMA DE COCINA VERMUYTEN 1LT GOLD,168.65,0.35,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
20,2026-04-20,Ingredientes_Para_Postres,CREMA DE LECHE 300GR NESTLE,2247.76,4.67,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
21,2026-04-20,Ingredientes_Para_Postres,CREMA DE LECHE DI FIORE 170GR,937.80,1.95,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
22,2026-04-20,Ingredientes_Para_Postres,CREMA DE LECHE LA PASTORENA 500ML UHT,2772.46,5.76,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
23,2026-04-20,Ingredientes_Para_Postres,CREMA DE LECHE MASTER TOP 1LT CULINARIA,4303.74,8.94,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
24,2026-04-20,Ingredientes_Para_Postres,CREMA DE LECHE NATULAC 473ML UHT,2582.68,5.37,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
25,2026-04-20,Ingredientes_Para_Postres,CREMA DE LECHE NATULAC 946ML UHT,4413.61,9.17,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
26,2026-04-20,Ingredientes_Para_Postres,CREMA DE LECHE PARISIENNE 200ML CARABOBO,1617.55,3.36,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
27,2026-04-20,Ingredientes_Para_Postres,CREMA DE LECHE PARMALAT 250ML,1629.99,3.39,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
28,2026-04-20,Ingredientes_Para_Postres,CREMA DE LECHE TIGO 200ML TETRAPACK CULINARIA,633.01,1.32,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
29,2026-04-20,Ingredientes_Para_Postres,PAPEL HIG ROSAL PLUS 4ROLL 400HOJAS NARANJA,1444.03,3.00,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
30,2026-04-20,Ingredientes_Para_Postres,POLLO ENTERO XUND,4282.84,8.90,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
31,2026-04-20,Ingredientes_Para_Postres,HUEVOS EL TUNAL 30UND,3777.56,7.85,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
32,2026-04-20,Ingredientes_Para_Postres,ARCOS DENTALES GALACTIC X30UND,1116.42,2.32,481.22,,2,https://www.plansuarez.com/index.php?route=product/category&path=238&page=2,2026-04-20T17:59:42.783804
33,2026-04-20,Ingredientes_Para_Postres,CREMA DE UNTAR ST MORITZ 500GR AVELLANA,4041.46,8.40,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
34,2026-04-20,Ingredientes_Para_Postres,CREMA PARA COCINA L ANTIQUE 1LT UHT,3594.89,7.47,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
35,2026-04-20,Ingredientes_Para_Postres,ESENCIA DE VAINILLA EDACA 120ML,898.72,1.87,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
36,2026-04-20,Ingredientes_Para_Postres,ESENCIA DE VAINILLA EDACA 60ML,463.32,0.96,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
37,2026-04-20,Ingredientes_Para_Postres,ESENCIA DE VAINILLA EDACA 90GR,682.30,1.42,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
38,2026-04-20,Ingredientes_Para_Postres,ESENCIA DE VAINILLA LA FAVORITA 150CC NEGR,1183.41,2.46,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
39,2026-04-20,Ingredientes_Para_Postres,ESENCIA DE VAINILLA LA FAVORITA 250CC BLAN,1972.34,4.10,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
40,2026-04-20,Ingredientes_Para_Postres,ESENCIA DE VAINILLA LA FAVORITA 250CC NEG,1972.34,4.10,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
41,2026-04-20,Ingredientes_Para_Postres,ESENCIA DE VAINILLA LA FAVORITA150CCBLAN,1183.41,2.46,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
42,2026-04-20,Ingredientes_Para_Postres,ESENCIA DE VAINILLA MAS 120ML,591.70,1.23,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
43,2026-04-20,Ingredientes_Para_Postres,ESENCIA DE VAINILLA MAS 90ML,475.54,0.99,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
44,2026-04-20,Ingredientes_Para_Postres,ESENCIA DE VAINILLA MCCORMICK 150ML,1879.62,3.91,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
45,2026-04-20,Ingredientes_Para_Postres,PAPEL HIG ROSAL PLUS 4ROLL 400HOJAS NARANJA,1444.03,3.00,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
46,2026-04-20,Ingredientes_Para_Postres,POLLO ENTERO XUND,4282.84,8.90,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
47,2026-04-20,Ingredientes_Para_Postres,HUEVOS EL TUNAL 30UND,3777.56,7.85,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
48,2026-04-20,Ingredientes_Para_Postres,ARCOS DENTALES GALACTIC X30UND,1116.42,2.32,481.22,,3,https://www.plansuarez.com/index.php?route=product/category&path=238&page=3,2026-04-20T17:59:48.531392
49,2026-04-20,Ingredientes_Para_Postres,GELATINA CHUPI NIEVE DE FRUTAS 85ML PINA,3222.75,6.70,481.22,,4,https://www.plansuarez.com/index.php?route=product/category&path=238&page=4,2026-04-20T17:59:51.989869
50,2026-04-20,Ingredientes_Para_Postres,GELATINA GELLA 90GR FRESA,833.58,1.73,481.22,,4,https://www.plansuarez.com/index.php?route=product/category&path=238&page=4,2026-04-20T17:59:51.989869
51,2026-04-20,Ingredientes_Para_Postres,GELATINA SONRISSA 132GR FOIL FRAMBUESA,1192.40,2.48,481.22,,4,https://www.plansuarez.com/index.php?route=product/category&path=238&page=4,2026-04-20T17:59:51.989869
52,2026-04-20,Ingredientes_Para_Postres,GELATINA SONRISSA 132GR TUTTI FRUTTI,1397.27,2.90,481.22,,4,https://www.plansuarez.com/index.php?route=product/category&path=238&page=4,2026-04-20T17:59:51.989869
53,2026-04-20,Ingredientes_Para_Postres,GELATINA SONRISSA 66GR FRAMBUESA,877.12,1.82,481.22,,4,https://www.plansuarez.com/index.php?route=product/category&path=238&page=4,2026-04-20T17:59:51.989869
